,bathrooms,bedrooms,building_size,car_spaces,deskripsi,land_size,lb,lokasi,lt,price,terdekat,empty,fasilitas,floors_total,price_conditions,year_built,maidrooms,maidbathrooms,electricity,deposit
30,2,3,122,2,"Rumah tinggal siap huni di tengah kota jakarta pusat.
Bisa juga dibuat kost2an.
Surat SHM lengkap & ready.
L x T: 7 x 15 m2, 1,5 lantai.
Kamar tidur: 3 + 1.
Dikelilingi dengan fasum seperti puskesmas, pasar, sekolah, STIE, al**mart, in**mart, dll.
Dekat dengan fasilitas transjakarta.
Bebas macet, banjir & akses mudah kemana2.",115,122,Johar Baru,115,1.350.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",07/05/19,"Kitchen set
Pagar penuh",1,Nego,2018,1,,,
31,4,5,250,2,"Turun Harga Rumah Baru Renovasi Lokasi Fantastis Johar Baru dekat Percetakan Negara
Spesifikasi:
SHM IMB
LT 219m2
LB 250m2
1,5 Lantai
KT 5 KM 4
Garasi 2 Mobil
Halaman/Taman Luas
Bebas Banjir
Jalan Depan 2 Mobil
Dekat ke Percetakan Negara dan Mardani Raya",219,250,Johar Baru,219,2.950.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",07/05/19,"Kitchen set
Pagar penuh",1,Nego,2018,1,,,
32,5,5,300,2,"Rumah Cantik Siap Huni di Percetakan Negara Johar Baru Jakarta Pusat
Dijual cepat, rumah baru 2 lantai di percetakan negara, Johar Baru, Jakarta Pusat. Jalan depan muat 2 mobil, dekat pusat kuliner, perdagangan, sekolah. Dilalui kendaraan umum. Garasi 1 mobil, carport 2 mobil. SHM, IMB. LT 200, LB 300, KT 5+1, KM 5.",200,300,Johar Baru,200,4.500.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",07/05/19,"Kitchen set
Pagar penuh",2,Nego,2018,1,,,
33,2,2,85,2,"Ready Stock - Lovenia Residence - Hunian Minimalist & Elegant di Jakarta Pusat
Rumah 3 1/2 Lantai
Kamar Tidur 2
Kamar Mandi 2
Dapur",24,85,Johar Baru,24,910.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",07/05/19,"Kitchen set
Pagar penuh",3,Nego,2018,1,,,
34,1,2,120,2,"Rumah johar baru bisa usaha, komersil campuran jakarta pusat

Luas tanah 96m
Bangunan 120
Kamar tidur 2",96,120,Johar Baru,96,2.300.000.000,"Stasiun Pasar Senen
Pasar Pramuka
Plaza Atrium
Plaza Kenari Mas
Pasar Poncol
Atrium Plaza",04/01/21,Pagar penuh,3,Nego,2018,1,,,
35,4,5,181,1,"Luas Tanah = 72,4 m²
Luas Bangunan = 181 m²
2 setengah lantai
Kamar tidur = 5 ruang
Kamar mandi = 4 ruang",73,181,Johar Baru,73,1.300.000.000,"Stasiun Pasar Senen
Pasar Pramuka
Plaza Atrium
Plaza Kenari Mas
Pasar Poncol
Atrium Plaza",17/01/20,"Internet broadband/Wifi
Telepon
Garasi
Keamanan 24 jam",3,Nego,2012,1,,,
36,3,6,120,1,"Dijual Rumah 3 lantai Murah, untuk usaha & hunian daerah Johar, Jakarta Pusat.
JOHAR BARU, JAKARTA PUSAT
LT 40 LB 120
KT 6 KM 3
SHM
Hadap Barat Daya
AC 2 unit
Include CCTV",40,120,Johar Baru,40,1.500.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",17/01/20,"Internet broadband/Wifi
Telepon
Garasi
Keamanan 24 jam",3,Nego,2012,1,,,
37,3,3,300,2,"JUAL CEPAT BU
Rumah lama di Percetakan Negara...masih layak huni
Luas tanah 360m2
Dimensi panjang30mxlebar12m
Luas bangunan360m2 1lt
Sertifikat hak milik.. imb ada
Km tidur3
Km tidur pembantu1
Km mandi3
Km pembantu1
Lamtai marmer
Listrik 2500watt
Air 1PAM dan 1Jetpump
carport 2 mbl
Rumah hadap timur
Jl depan rmh 2 mobil
Lokasi tenang, bebas banjir
Harga 5.6m nego",360,300,Johar Baru,360,5.600.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",17/01/20,"Internet broadband/Wifi
Telepon
Garasi
Keamanan 24 jam",3,Nego,2012,1,1,,
38,4,4,150,1,"Dijual rmh layak huni di Johar baru Jakarta Pusat, jalan 2 mobil, lokasi strategis. Sdh ada perbaikan utk atap dan genteng2 yg bocor
Lt 164m2
Lb 150m2 (1.5lt)
SHM Imb
Kt 2+2 km 2+2 (bwh+atas)
Garas1 Carport 1
Jalan depan rmh 2mobil
Harga 3m nepissss",164,150,Johar Baru,164,3.000.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",17/01/20,"Internet broadband/Wifi
Telepon
Garasi
Keamanan 24 jam",1,Nego,2012,1,1,,
39,4,5,200,1,"Rumah Cantik Johar Rawa Selatanlt.100 lb.200 kt: 4+1 km: 3+1 SHM IMBlistrik 5500 harga 2,6M nego tipis",100,200,Johar Baru,100,2.600.000.000,"Stasiun Pasar Senen
Universitas YARSI
Plaza Atrium
Plaza Kenari Mas
Rumah Makan Pagi Sore
Pasar Poncol",17/01/20,"Internet broadband/Wifi
Telepon
Garasi
Keamanan 24 jam",1,Nego,2012,1,1,,
