,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,harga,kecamatan,garasi,kolam_renang,taman,gym,listrik,jumlah_lantai
3006,4,5,250.0,157.0,3700000000.0,Kelapa Gading,True,False,True,False,40000.0,3
3007,6,8,600.0,414.0,7600000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3008,3,3,100.0,90.0,1750000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3009,4,5,306.0,102.0,3300000000.0,Kelapa Gading,True,False,False,False,40000.0,4
3010,3,4,121.0,122.0,2275000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3011,4,5,225.0,220.0,6500000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3012,4,4,183.0,94.0,2250000000.0,Kelapa Gading,True,False,False,False,40000.0,3
3013,6,8,800.0,400.0,24000000000.0,Kelapa Gading,True,False,True,False,40000.0,3
3014,5,5,180.0,114.0,3800000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3015,3,3,54.0,45.0,1020000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3016,6,5,190.0,90.0,2950000000.0,Kelapa Gading,True,False,False,False,40000.0,3
3017,5,6,195.0,195.0,2300000000.0,Kelapa Gading,True,False,False,False,2200.0,2
3018,3,4,155.0,96.0,2500000000.0,Tanjung Priok,True,False,False,False,40000.0,2
3019,8,8,2500.0,1080.0,65000000000.0,Penjaringan,True,False,False,False,40000.0,2
3020,4,4,150.0,90.0,2700000000.0,Tanjung Priok,True,False,False,False,40000.0,2
3021,5,5,270.0,166.0,5200000000.0,Penjaringan,True,False,False,False,40000.0,3
3022,3,4,110.0,80.0,2000000000.0,Penjaringan,True,False,False,False,40000.0,2
3023,6,6,2000.0,900.0,50000000000.0,Penjaringan,True,False,True,False,40000.0,3
3024,5,4,131.0,90.0,2950000000.0,Kelapa Gading,True,False,False,False,40000.0,3
3025,3,4,500.0,250.0,12000000000.0,Penjaringan,True,False,True,False,40000.0,3
3026,6,8,630.0,590.0,23000000000.0,Kelapa Gading,True,False,False,False,40000.0,3
3027,3,3,100.0,60.0,1450000000.0,Penjaringan,True,False,False,False,40000.0,3
3028,4,4,375.0,150.0,5350000000.0,Penjaringan,True,False,False,False,40000.0,1
3029,4,4,120.0,120.0,3400000000.0,Penjaringan,True,False,False,False,40000.0,2
3030,2,5,90.0,90.0,1875000000.0,Kelapa Gading,True,False,True,False,40000.0,2
3031,3,4,90.0,60.0,1875000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3032,6,5,320.0,146.0,5500000000.0,Penjaringan,True,False,False,False,40000.0,5
3033,6,5,260.0,245.0,9000000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3034,3,4,99.0,90.0,2050000000.0,Kelapa Gading,True,False,False,False,40000.0,1
3035,3,5,135.0,135.0,1800000000.0,Kelapa Gading,True,False,False,False,40000.0,1
3036,4,5,200.0,136.0,3900000000.0,Kelapa Gading,True,False,True,False,40000.0,2
3037,4,4,128.0,90.0,2750000000.0,Penjaringan,True,False,False,False,40000.0,2
3038,4,5,945.0,472.0,20500000000.0,Penjaringan,True,False,False,False,40000.0,2
3039,5,5,162.0,112.0,1400000000.0,Cilincing,True,False,False,False,40000.0,2
3040,4,7,280.0,140.0,5500000000.0,Penjaringan,True,True,True,False,40000.0,3
3041,3,4,320.0,160.0,4800000000.0,Penjaringan,True,False,False,False,40000.0,2
3042,5,5,119.0,90.0,2000000000.0,Penjaringan,True,False,True,True,40000.0,2
3043,2,5,120.0,120.0,950000000.0,Kelapa Gading,True,False,False,False,40000.0,3
3044,5,5,392.0,294.0,14000000000.0,Kelapa Gading,True,False,False,False,40000.0,3
3045,5,5,240.0,119.0,6000000000.0,Penjaringan,True,False,False,False,40000.0,3
3046,2,4,180.0,180.0,1600000000.0,Cilincing,True,False,False,False,40000.0,3
3047,3,4,98.0,80.0,1800000000.0,Penjaringan,True,False,True,True,40000.0,2
3048,3,5,150.0,175.0,4500000000.0,Penjaringan,True,False,False,False,40000.0,2
3049,6,5,786.0,302.0,13000000000.0,Penjaringan,True,True,False,False,40000.0,2
3050,3,4,350.0,187.0,4900000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3051,4,5,252.0,200.0,5410000000.0,Penjaringan,True,False,False,False,40000.0,3
3052,4,6,286.0,136.0,3900000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3053,6,8,400.0,460.0,9980000000.0,Pademangan,True,False,False,False,40000.0,3
3054,5,7,450.0,360.0,7000000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3055,4,4,68.0,56.0,1500000000.0,Penjaringan,True,False,False,False,40000.0,3
3056,8,9,750.0,300.0,13500000000.0,Kelapa Gading,True,False,False,False,40000.0,3
3057,3,3,130.0,90.0,1700000000.0,Tanjung Priok,True,False,False,False,40000.0,2
3058,4,5,165.0,220.0,6000000000.0,Kelapa Gading,True,False,True,False,40000.0,2
3059,4,5,350.0,342.0,7500000000.0,Kelapa Gading,True,False,False,False,40000.0,2
3060,5,6,1400.0,602.0,32000000000.0,Penjaringan,True,False,False,False,40000.0,4
3061,4,6,198.0,192.0,5000000000.0,Tanjung Priok,True,False,True,False,40000.0,1
3062,6,6,275.0,160.0,4900000000.0,Tanjung Priok,True,False,False,False,40000.0,2
3063,5,7,130.0,90.0,2700000000.0,Kelapa Gading,True,False,False,False,40000.0,4
3064,5,5,650.0,772.0,19500000000.0,Pademangan,True,False,True,False,40000.0,2
3065,4,4,207.0,302.0,8600000000.0,Tanjung Priok,True,False,False,False,40000.0,3
3066,7,6,874.0,529.0,18000000000.0,Penjaringan,True,False,False,False,40000.0,3
3067,4,4,140.0,120.0,2600000000.0,Kelapa Gading,True,False,False,False,40000.0,2
