,index,kamar_mandi,kamar_tidur,luas_bangunan,luas_tanah,harga,kecamatan,garasi,kolam_renang,taman,gym,jumlah_lantai,listrik
5735,9159,3,5,80.0,40.0,950000000.0,Johar Baru,True,False,False,False,2,2200.0
5736,9166,3,6,78.0,41.0,1320000000.0,Sawah Besar,True,False,False,False,2,2200.0
5737,9170,5,8,125.0,96.0,2300000000.0,Kemayoran,True,False,False,False,2,2200.0
5738,9172,3,7,150.0,61.0,2300000000.0,Senen,True,False,False,False,3,2200.0
5739,9175,3,6,210.0,150.0,5000000000.0,Tanah Abang,True,False,False,False,2,2200.0
5740,9176,7,10,550.0,728.0,72000000000.0,Menteng,True,True,False,False,2,2200.0
5741,9178,3,8,250.0,188.0,3850000000.0,Tanah Abang,True,False,False,False,2,2200.0
5742,9180,5,5,200.0,100.0,2600000000.0,Johar Baru,True,False,False,False,2,2200.0
5743,9181,3,4,400.0,565.0,7000000000.0,Kemayoran,True,False,False,False,2,2200.0
5744,9182,5,6,280.0,210.0,5000000000.0,Cempaka Putih,True,False,False,False,2,2200.0
5745,9183,3,5,258.0,258.0,2500000000.0,Tanah Abang,True,False,True,False,2,2200.0
5746,9186,11,12,460.0,136.0,3700000000.0,Kemayoran,True,False,False,False,5,2200.0
5747,9187,8,8,700.0,593.0,60000000000.0,Menteng,True,True,False,False,2,2200.0
5748,9189,6,7,800.0,718.0,59000000000.0,Menteng,True,False,False,False,2,2200.0
5749,9193,2,5,100.0,105.0,3000000000.0,Kemayoran,True,False,False,False,2,2200.0
5750,9194,6,8,108.0,265.0,3000000000.0,Cempaka Putih,True,False,False,False,2,2200.0
5751,9198,4,5,108.0,120.0,3400000000.0,Cempaka Putih,True,False,False,False,2,2200.0
5752,9199,4,5,129.0,291.0,19185000000.0,Menteng,True,False,False,False,2,2200.0
5753,9201,5,6,903.0,1269.0,79900000000.0,Menteng,True,True,False,False,2,2200.0
5754,9203,9,11,424.0,1000.0,55000000000.0,Menteng,True,False,False,False,2,2200.0
5755,9204,4,5,96.0,32.0,690000000.0,Sawah Besar,True,False,False,False,2,2200.0
5756,9206,7,9,520.0,725.0,54000000000.0,Menteng,True,False,False,False,2,2200.0
5757,9207,4,6,250.0,150.0,3800000000.0,Kemayoran,True,False,False,False,2,2200.0
5758,9210,9,11,1150.0,952.0,125000000000.0,Menteng,True,False,False,False,2,2200.0
5759,9213,4,8,96.0,100.0,850000000.0,Sawah Besar,True,False,False,False,5,2200.0
5760,9214,5,4,500.0,302.0,8000000000.0,Cempaka Putih,True,False,False,False,2,2200.0
5761,9218,2,3,250.0,410.0,55000000000.0,Menteng,True,False,False,False,1,2200.0
5762,9221,8,5,249.0,688.0,35000000000.0,Menteng,True,False,False,False,1,2200.0
5763,9222,3,6,240.0,80.0,2200000000.0,Johar Baru,True,False,False,False,3,2200.0
5764,9227,10,10,624.0,510.0,31000000000.0,Menteng,True,False,False,False,3,2200.0
5765,9228,2,3,46.0,24.0,795000000.0,Johar Baru,True,False,False,False,2,2200.0
5766,9229,2,3,130.0,96.0,850000000.0,Kemayoran,True,False,False,False,3,2200.0
5767,9231,2,5,80.0,40.0,980000000.0,Johar Baru,True,False,False,False,2,11000.0
5768,9232,4,6,375.0,478.0,4700000000.0,Kemayoran,True,False,True,False,1,11000.0
5769,9236,3,6,150.0,104.0,2100000000.0,Kemayoran,True,False,False,False,1,11000.0
5770,9240,3,7,250.0,168.0,3800000000.0,Cempaka Putih,True,False,False,False,1,11000.0
5771,9243,4,7,250.0,380.0,11800000000.0,Menteng,True,False,False,False,2,11000.0
5772,9244,2,4,44.0,22.0,875000000.0,Menteng,True,False,False,False,2,11000.0
5773,9246,4,5,220.0,91.0,4200000000.0,Tanah Abang,True,False,True,False,3,11000.0
5774,9247,3,4,77.0,25.0,1250000000.0,Cempaka Putih,True,False,False,False,3,11000.0
5775,9248,3,8,200.0,159.0,1250000000.0,Johar Baru,True,False,False,False,2,11000.0
5776,9250,26,27,500.0,330.0,7500000000.0,Sawah Besar,True,False,False,False,3,11000.0
5777,9254,4,6,726.0,287.0,25000000000.0,Menteng,True,False,False,False,3,11000.0
5778,9255,3,5,150.0,60.0,2400000000.0,Cempaka Putih,True,False,False,False,3,11000.0
5779,9256,5,7,130.0,95.0,3000000000.0,Cempaka Putih,True,False,False,False,3,11000.0
